e0-s0, e1-s1, e2-s2, 
e0-s0, e1-s1, e2-s3, 
e0-s0, e1-s1, e2-s4, 
e0-s0, e1-s2, e2-s1, 
e0-s0, e1-s2, e2-s3, 
e0-s0, e1-s2, e2-s4, 
e0-s0, e1-s3, e2-s1, 
e0-s0, e1-s3, e2-s2, 
e0-s0, e1-s3, e2-s4, 
e0-s0, e1-s4, e2-s1, 
e0-s0, e1-s4, e2-s2, 
e0-s0, e1-s4, e2-s3, 
e0-s1, e1-s0, e2-s2, 
e0-s1, e1-s0, e2-s3, 
e0-s1, e1-s0, e2-s4, 
e0-s1, e1-s2, e2-s0, 
e0-s1, e1-s2, e2-s3, 
e0-s1, e1-s2, e2-s4, 
e0-s1, e1-s3, e2-s0, 
e0-s1, e1-s3, e2-s2, 
e0-s1, e1-s3, e2-s4, 
e0-s1, e1-s4, e2-s0, 
e0-s1, e1-s4, e2-s2, 
e0-s1, e1-s4, e2-s3, 
e0-s2, e1-s0, e2-s1, 
e0-s2, e1-s0, e2-s3, 
e0-s2, e1-s0, e2-s4, 
e0-s2, e1-s1, e2-s0, 
e0-s2, e1-s1, e2-s3, 
e0-s2, e1-s1, e2-s4, 
e0-s2, e1-s3, e2-s0, 
e0-s2, e1-s3, e2-s1, 
e0-s2, e1-s3, e2-s4, 
e0-s2, e1-s4, e2-s0, 
e0-s2, e1-s4, e2-s1, 
e0-s2, e1-s4, e2-s3, 
e0-s3, e1-s0, e2-s1, 
e0-s3, e1-s0, e2-s2, 
e0-s3, e1-s0, e2-s4, 
e0-s3, e1-s1, e2-s0, 
e0-s3, e1-s1, e2-s2, 
e0-s3, e1-s1, e2-s4, 
e0-s3, e1-s2, e2-s0, 
e0-s3, e1-s2, e2-s1, 
e0-s3, e1-s2, e2-s4, 
e0-s3, e1-s4, e2-s0, 
e0-s3, e1-s4, e2-s1, 
e0-s3, e1-s4, e2-s2, 
e0-s4, e1-s0, e2-s1, 
e0-s4, e1-s0, e2-s2, 
e0-s4, e1-s0, e2-s3, 
e0-s4, e1-s1, e2-s0, 
e0-s4, e1-s1, e2-s2, 
e0-s4, e1-s1, e2-s3, 
e0-s4, e1-s2, e2-s0, 
e0-s4, e1-s2, e2-s1, 
e0-s4, e1-s2, e2-s3, 
e0-s4, e1-s3, e2-s0, 
e0-s4, e1-s3, e2-s1, 
e0-s4, e1-s3, e2-s2, 
60
